Player Id,First Name,Last Name,Country,Gender,Alt Last Name 1,Alt Last Name 2,DOB,Hand,Backhand
MGiro,Marcus,Giron,USA,M,,,1993-07-24,R,2
JMcGe,James,McGee,Ireland,M,,,1987-06-10,R,2
BCori,Borna,Coric,Croatia,M,,,1996-11-14,R,2
TDani,Taro,Daniel,Japan,M,,,1993-01-27,R,2
RAlbo,Radu,Albot,Macedonia,M,,,1989-11-11,L,B
NRubi,Noah,Rubin,USA,M,,,1996-02-21,R,2
JDona,Jared,Donaldson,USA,M,,,1996-10-09,R,2
NDese,Niels,Desein,Belgium,M,,,1987-06-09,R,2
YNish,Yoshihito,Nishioka,Japan,M,,,1995-09-27,L,2
CBell,Catherine,Bellis,USA,F,,,1999-04-08,R,2
QWang,Qiang,Wang,China,F,,,1992-01-14,R,2
SZhen,Saisai,Zheng,China,F,,,1994-02-05,R,2
FAban,Francoise,Abanda,Canada,F,,,1997-02-05,R,2
OJabe,Ons,Jabeur,Tunisia,F,,,1994-08-28,R,2
ASasn,Aliaksandra,Sasnovich,Belarus,F,,,1994-03-22,R,2
DColl,Danielle Rose,Collins,USA,F,,,1993-12-13,R,2
