Player Id,First Name,Last Name,Country,Gender,Alt Last Name 1,Alt Last Name 2,DOB,Hand,Backhand
AAgas,Andre,Agassi,USA,M,,,1970-04-29,R,2
AAlca,Ana,Alcazar,Spain,F,,,1979-06-08,,
AAman,Akgul,Amanmuradova,Uzbekistan,F,,,1984-06-23,R,2
AAnde,Adam,Anderson,Australia,M,,,1969-12-21,,
AAnto,Alex,Antonitsch,Austria,M,,,1966-02-08,R,
AAram,Alejandro,Aramburu Acuna,Peru,M,,,1969-02-14,R,
AArna,Andrea,Arnaboldi,Italy,M,,,1987-12-27,L,1
ABach,Angelika,Bachmann,Germany,F,,,1979-05-16,R,2
ABake,Allison,Baker,USA,F,,,1986-04-10,L,2
ABarn,Anca,Barna,Germany,F,,,1977-05-14,L,2
ABart,Ashleigh,Barty,Australia,F,,,1996-04-24,R,2
ABeck,Andreas,Beck,Germany,M,,,1986-02-05,L,
ABede,Aljaz,Bedene,Slovenia,M,,,1989-07-18,R,
ABelo,Allen,Belobrajdic,Australia,M,,,1976-09-18,R,
ABera,Alberto,Berasategui,Spain,M,,,1973-06-28,R,1
ABetz,Andrea,Betzner,West Germany,F,,,1966-07-10,R,1
ABoet,Arnaud,Boetsch,France,M,,,1969-04-01,R,
ABogd,Alex,Bogdanovic,UK,M,,,1984-05-22,L,1
ABogo,Alex,Bogomolov Jr.,USA,M,,,1983-04-23,R,
ABond,Alona,Bondarenko,Ukraine,F,,,1984-08-13,R,2
ABrad,Allison,Bradshaw,USA,F,,,1980-11-14,R,2
ABria,Alberta,Brianti,Italy,F,,,1980-04-05,R,1
ABrug,Arnau,Brugues-Davi,Spain,M,,,1985-03-05,L,
ABurr,Andrew,Burrow,South Africa,M,,,1963-06-17,R,
ACada,Alexandra,Cadantu,Romania,F,,,1990-05-03,R,2
ACala,Alex,Calatrava,Spain,M,,,1973-06-14,R,
ACall,Agustin,Calleri,Argentina,M,,,1976-09-14,R,
ACarg,Ansley,Cargill,USA,F,,,1982-01-05,L,2
ACarl,Asa,Carlsson,Sweden,F,Svensson,,1975-06-16,R,2
AChak,Anna,Chakvetadze,Russia,F,,,1987-03-05,R,2
AChan,Albert,Chang,Canada,M,,,1971-02-27,R,1
ACher,Andrei,Cherkasov,USSR,M,,,1970-07-04,,
AChes,Andrei,Chesnokov,USSR,M,,,1966-02-02,R,
AClem,Arnaud,Clement,France,M,,,1977-12-17,R,
ACoch,Amelie,Cocheteux,France,F,,,1978-03-27,L,2
ACoet,Amanda,Coetzer,South Africa,F,,,1971-10-22,R,2
ACohe,Audra,Cohen,USA,F,,,1986-04-21,R,2
