id,p_code,first_name,last_name,gender,alt_last_name_1,alt_last_name_2,dob,hand,backhand,created_at,updated_at,country_id
1,aagas,Andre,Agassi,M,,,1970-04-29,R,2,2016-01-01 04:08:16.689849,2016-01-01 04:08:16.689849,228
2,aalca,Ana,Alcazar,F,,,1979-06-08,,,2016-01-01 04:08:16.720844,2016-01-01 04:08:16.720844,200
3,aaman,Akgul,Amanmuradova,F,,,1984-06-23,R,2,2016-01-01 04:08:16.733324,2016-01-01 04:08:16.733324,231
4,aande,Adam,Anderson,M,,,1969-12-21,,,2016-01-01 04:08:16.745332,2016-01-01 04:08:16.745332,13
5,aanto,Alex,Antonitsch,M,,,1966-02-08,R,,2016-01-01 04:08:16.755878,2016-01-01 04:08:16.755878,14
6,aaram,Alejandro,Aramburu Acuna,M,,,1969-02-14,R,,2016-01-01 04:08:16.767623,2016-01-01 04:08:16.767623,170
7,aarna,Andrea,Arnaboldi,M,,,1987-12-27,L,1,2016-01-01 04:08:16.779558,2016-01-01 04:08:16.779558,107
8,abach,Angelika,Bachmann,F,,,1979-05-16,R,2,2016-01-01 04:08:16.791743,2016-01-01 04:08:16.791743,82
9,abake,Allison,Baker,F,,,1986-04-10,L,2,2016-01-01 04:08:16.803403,2016-01-01 04:08:16.803403,228
10,abarn,Anca,Barna,F,,,1977-05-14,L,2,2016-01-01 04:08:16.815361,2016-01-01 04:08:16.815361,82
11,abart,Ashleigh,Barty,F,,,1996-04-24,R,2,2016-01-01 04:08:16.826945,2016-01-01 04:08:16.826945,13
12,abeck,Andreas,Beck,M,,,1986-02-05,L,,2016-01-01 04:08:16.838835,2016-01-01 04:08:16.838835,82
13,abede,Aljaz,Bedene,M,,,1989-07-18,R,,2016-01-01 04:08:16.887642,2016-01-01 04:08:16.887642,194
14,abelo,Allen,Belobrajdic,M,,,1976-09-18,R,,2016-01-01 04:08:16.89886,2016-01-01 04:08:16.89886,13
15,abera,Alberto,Berasategui,M,,,1973-06-28,R,1,2016-01-01 04:08:16.910512,2016-01-01 04:08:16.910512,200
