id,player_name,p_code,nationality,c_code,player_url,created_at,updated_at,gender
806,Anne Smith,asmit,United States,USA,/profile-bio/women/Anne_Smith/,,2016-01-12 00:31:48.761998,F
1040,Andrea Temesvari,ateme,Hungary,HUN,/profile-bio/women/Andrea_Temesvari/,,2016-01-12 00:31:57.559407,F
1225,Arne Thoms,athom,GER,DEU,/profile-bio/men/Arne_Thoms/,,2016-01-12 00:32:04.304574,M
1372,Alberto Tous,atous,ESP,ESP,/profile-bio/men/Alberto_Tous/,,2016-01-12 00:32:09.911423,M
1301,Andrea Vieira,aviei,Brazil,BRA,/profile-bio/women/Andrea_Vieira/,,2016-01-12 00:32:07.366887,F
1303,Byron Black,bblac,ZIM,ZWE,/profile-bio/men/Byron_Black/,,2016-01-12 00:32:07.426976,M
873,Belinda Borneo,bborn,United Kingdom,GBR,/profile-bio/women/Belinda_Borneo/,,2016-01-12 00:31:51.089999,F
685,Barbara Collet,bcoll,France,FRA,/profile-bio/women/Barbara_Collet/,,2016-01-12 00:31:44.428419,F
505,Belinda Cordwell,bcord,New Zealand,NZL,/profile-bio/women/Belinda_Cordwell/,,2016-01-12 00:31:38.235358,F
396,Bruce Derlin,bderl,NZL,NZL,/profile-bio/men/Bruce_Derlin/,,2016-01-12 00:31:33.938538,M
1337,Brian Devening,bdeve,USA,USA,/profile-bio/men/Brian_Devening/,,2016-01-12 00:32:08.53154,M
987,Broderick Dyke,bdyke,AUS,AUS,/profile-bio/men/Broderick_Dyke/,,2016-01-12 00:31:55.674759,M
612,Bret Garnett,bgarn,USA,USA,/profile-bio/men/Bret_Garnett/,,2016-01-12 00:31:41.824275,M
140,Brian Garrow,bgarr,USA,USA,/profile-bio/men/Brian_Garrow/,,2016-01-12 00:31:25.140697,M
1136,Brad Gilbert,bgilb,USA,USA,/profile-bio/men/Brad_Gilbert/,,2016-01-12 00:32:01.136224,M
1058,Beth Herr,bherr,United States,USA,/profile-bio/women/Beth_Herr/,,2016-01-12 00:31:58.291524,F
838,Bernd Karbacher,bkarb,GER,DEU,/profile-bio/men/Bernd_Karbacher/,,2016-01-12 00:31:49.949726,M
980,Brian MacPhie,bmacp,USA,USA,/profile-bio/men/Brian_MacPhie/,,2016-01-12 00:31:55.470685,M
1329,Bertrand Madsen,bmads,HAI,HTI,/profile-bio/men/Bertrand_Madsen/,,2016-01-12 00:32:08.255298,M
428,Betsy Nagelsen,bnage,United States,USA,/profile-bio/women/Betsy_Nagelsen/,,2016-01-12 00:31:35.186595,F
1068,Boris Becker,bobeck,GER,DEU,/profile-bio/men/Boris_Becker/,,2016-01-12 00:31:58.615424,M
849,Bruno Oresar,bores,CRO,HRV,/profile-bio/men/Bruno_Oresar/,,2016-01-12 00:31:50.297782,M
554,Barbara Paulus,bpaul,Austria,AUT,/profile-bio/women/Barbara_Paulus/,,2016-01-12 00:31:39.951415,F
539,Beate Reinstadler,brein,Austria,AUT,/profile-bio/women/Beate_Reinstadler/,,2016-01-12 00:31:39.507486,F
479,Barbara Rittner,britt,Germany,DEU,/profile-bio/women/Barbara_Rittner/,,2016-01-12 00:31:37.227124,F
2103,Bill Scanlon,bscan,USA,USA,/profile-bio/men/Bill_Scanlon/,,2016-01-12 00:32:36.844671,M
84,Denisa Krajcovicova,dkraj,Slovakia,SVK,/profile-bio/women/Denisa_Krajcovicova/,,,F
2028,Byron Talbot,btalb,RSA,ZAF,/profile-bio/men/Byron_Talbot/,,2016-01-12 00:32:34.119927,M
1894,Chuck Adams,cadam,USA,USA,/profile-bio/men/Chuck_Adams/,,2016-01-12 00:32:29.307532,M
2010,Cammy Macgregor,camacg,United States,USA,/profile-bio/women/Cammy_Macgregor/,,2016-01-12 00:32:33.435812,F
892,Carin Bakkum,cbakk,Netherlands,NLD,/profile-bio/women/Carin_Bakkum/,,2016-01-12 00:31:51.870042,F
1628,Colin Beecher,cbeec,GBR,GBR,/profile-bio/men/Colin_Beecher/,,2016-01-12 00:32:19.440934,M
1616,Camille Benjamin,cbenj,United States,USA,/profile-bio/women/Camille_Benjamin/,,2016-01-12 00:32:18.997189,F
338,Craig Campbell,ccamp,RSA,ZAF,/profile-bio/men/Craig_Campbell/,,2016-01-12 00:31:32.054148,M
401,Cristiano Caratti,ccara,ITA,ITA,/profile-bio/men/Cristiano_Caratti/,,2016-01-12 00:31:34.106803,M
646,Cathy Caverzasio,ccave,Italy,ITA,/profile-bio/women/Cathy_Caverzasio/,,2016-01-12 00:31:43.024086,F
1266,Celine Cohen,ccohe,Switzerland,CHE,/profile-bio/women/Celine_Cohen/,,2016-01-12 00:32:05.974698,F
990,Carlos Costa,ccost,ESP,ESP,/profile-bio/men/Carlos_Costa/,,2016-01-12 00:31:55.758751,M
1189,Carrie Cunningham,ccunn,United States,USA,/profile-bio/women/Carrie_Cunningham/,,2016-01-12 00:32:02.888237,F
1385,Cecilia Dahlman,cdahl,Sweden,SWE,/profile-bio/women/Cecilia_Dahlman/,,2016-01-12 00:32:10.355345,F
1382,Caroline Dhenin,cdhen,France,FRA,/profile-bio/women/Caroline_Dhenin/,,2016-01-12 00:32:10.283509,F
1276,Charlton Eagle,ceagl,AUS,AUS,/profile-bio/men/Charlton_Eagle/,,2016-01-12 00:32:06.334664,M
110,Sabrina Goles,sgole,Croatia,HRV,/profile-bio/women/Sabrina_Goles/,,,F
20,Mohamed Dlimi,mdlim,MAR,MAR,/profile-bio/men/Mohamed_Dlimi/,,,M
21,Jorgen Nilsson,jnils,SWE,SWE,/profile-bio/men/Jorgen_Nilsson/,,,M
22,Jose Nunes,jnune,POR,PRT,/profile-bio/men/Jose_Nunes/,,,M
23,Paul Dogger,pdogg,NED,NLD,/profile-bio/men/Paul_Dogger/,,,M
25,Woody Hunt,whunt,USA,USA,/profile-bio/men/Woody_Hunt/,,,M
27,George Bezecny,gbeze,USA,USA,/profile-bio/men/George_Bezecny/,,,M
28,Hemel Meghani,hmegh,United States,USA,/profile-bio/women/Hemel_Meghani/,,,F
