id,resolved,created_at,updated_at,rpexception_type_id,ranking_player_id,player_id,country_id
456,t,2016-01-12 00:31:43.642435,2016-02-22 05:04:14.946297,8,665,2716,30
79,t,2016-01-12 00:31:24.554476,2016-02-11 20:48:24.381447,1,123,1538,225
34,t,2016-01-12 00:31:22.261062,2016-02-11 21:09:26.931526,1,58,429,57
50,t,2016-01-12 00:31:23.171557,2016-02-11 21:15:01.444727,1,84,501,193
68,t,2016-01-12 00:31:24.083486,2016-02-11 21:15:15.631573,1,110,1838,54
103,t,2016-01-12 00:31:25.704451,2016-02-11 21:15:27.187914,1,157,1099,57
3,t,2016-01-12 00:31:20.899928,2016-02-22 00:15:40.756073,8,20,2155,147
4,t,2016-01-12 00:31:20.92844,2016-02-22 00:17:21.706556,8,21,2156,208
5,t,2016-01-12 00:31:21.01673,2016-02-22 00:59:26.037648,8,22,2157,174
6,t,2016-01-12 00:31:21.049831,2016-02-22 01:00:42.46597,8,23,2158,153
8,t,2016-01-12 00:31:21.120989,2016-02-22 01:07:07.297507,8,25,2159,228
10,t,2016-01-12 00:31:21.202995,2016-02-22 01:09:41.555009,8,27,2160,228
11,t,2016-01-12 00:31:21.242,2016-02-22 01:11:11.921712,8,28,2161,228
12,t,2016-01-12 00:31:21.275876,2016-02-22 01:17:56.784396,8,29,2162,30
13,t,2016-01-12 00:31:21.310603,2016-02-22 01:19:00.77845,8,30,2163,228
14,t,2016-01-12 00:31:21.349432,2016-02-22 01:25:36.265154,8,31,2164,107
15,t,2016-01-12 00:31:21.38424,2016-02-22 01:26:25.908858,8,32,2165,14
42,t,2016-01-12 00:31:22.703602,2016-02-22 01:47:51.581664,9,71,2168,3
7,t,2016-01-12 00:31:21.084544,2016-02-22 03:35:57.527665,8,24,2223,44
25,t,2016-01-12 00:31:21.890006,2016-02-22 03:36:16.00732,8,47,2224,200
9,t,2016-01-12 00:31:21.164872,2016-02-22 04:44:56.218408,8,26,2296,14
17,t,2016-01-12 00:31:21.452674,2016-02-22 04:49:39.412181,8,34,2298,44
18,t,2016-01-12 00:31:21.477864,2016-02-22 04:49:41.570995,8,35,2299,228
19,t,2016-01-12 00:31:21.516234,2016-02-22 04:49:43.615907,8,36,2300,178
20,t,2016-01-12 00:31:21.590918,2016-02-22 04:49:45.427752,8,38,2301,82
